par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
91,5,222883.0,118,0,24748.0,65,1,6375.0,1
85,5,214437.0,115,0,26877.0,63,1,11767.0,1
89,5,224364.0,123,0,30309.0,61,1,11990.0,1
92,6,182685.0,50,0,16142.0,93,4,12619.0,1
91,6,193571.0,80,0,19710.0,84,0,45608.0,1
91,6,173659.0,66,0,17273.0,90,4,58195.0,1
93,6,179394.0,66,0,17383.0,90,4,39551.0,1
94,6,173350.0,49,0,16124.0,96,4,22869.0,1
92,6,175805.0,61,0,21975.0,90,4,33001.0,1
90,6,169423.0,55,0,17521.0,94,4,64993.0,1
99,5,248428.0,80,0,24127.0,99,4,27740.0,1
99,6,205469.0,34,0,7225.0,117,4,39630.0,1
97,6,192266.0,39,0,7048.0,111,4,48771.0,1
94,6,177873.0,45,0,7349.0,104,4,32178.0,1
92,6,165295.0,47,0,7876.0,98,4,21744.0,1
89,6,139512.0,48,0,7416.0,95,4,62740.0,1
86,6,129964.0,53,0,7767.0,89,4,23213.0,1
85,6,135215.0,66,0,15698.0,82,4,38058.0,1
85,5,204695.0,111,0,34333.0,60,1,11287.0,1
83,6,156213.0,49,0,9520.0,92,4,32981.0,1
85,5,210249.0,105,0,29763.0,67,1,16196.0,1
90,6,162073.0,45,0,6217.0,104,4,72561.0,1
90,6,160432.0,46,0,5547.0,103,4,59285.0,1
85,6,156094.0,47,0,10205.0,98,4,36494.0,1
87,6,156434.0,45,0,8994.0,97,4,41288.0,1
87,6,166027.0,46,0,11528.0,100,4,45238.0,1
93,6,181484.0,43,0,10595.0,104,4,20397.0,1
93,6,180321.0,46,0,11928.0,102,4,17680.0,1
95,6,181262.0,39,0,9715.0,108,4,51045.0,1
93,6,172058.0,36,0,5556.0,114,4,68273.0,1
92,5,192358.0,36,0,6009.0,112,4,6081.0,1
91,5,193124.0,35,0,7308.0,109,4,6498.0,1
97,6,195225.0,32,0,4605.0,114,4,10754.0,1
98,6,197746.0,38,0,6462.0,113,4,11481.0,1
96,6,193955.0,38,0,5708.0,115,4,4401.0,1
96,6,194766.0,42,0,7975.0,116,4,18874.0,1
95,6,186137.0,38,0,11622.0,113,4,36030.0,1
91,6,187688.0,37,0,9386.0,105,4,10932.0,1
92,5,199000.0,37,0,9340.0,107,4,14644.0,1
97,6,198765.0,32,0,7067.0,115,4,21851.0,1
93,6,200088.0,32,0,6629.0,114,4,19837.0,1
96,6,205685.0,33,0,6343.0,115,4,45144.0,1
95,6,194242.0,31,0,6208.0,115,4,54212.0,1
99,6,204284.0,28,0,4290.0,121,4,45763.0,1
99,6,206556.0,30,0,4387.0,122,4,46988.0,1
99,6,201013.0,30,0,4436.0,121,4,38531.0,1
99,6,203025.0,30,0,4581.0,120,4,41178.0,1
99,6,205063.0,30,0,4650.0,120,4,41681.0,1
99,6,201448.0,30,0,4946.0,120,4,41681.0,1
99,6,201551.0,30,0,5001.0,120,4,41693.0,1
99,6,201508.0,30,0,4944.0,120,4,41677.0,1
